doc_idx,start,length,uppercase_ratio,punct_density,digit_density,byte_fallback_ratio,mean_word_len,repetition_score
213,241036,2998,0.3456,0.0537,0.0163,0.0007,2.62,0.1199
214,244034,441,0.0839,0.0454,0.0317,0.0000,2.40,0.0342
215,244475,1290,0.0853,0.0419,0.0078,0.0000,2.41,0.0730
216,245765,199,0.1407,0.0854,0.0251,0.0050,2.62,0.0306
217,245964,499,0.1503,0.0641,0.0621,0.0060,2.73,0.0323
218,246463,1166,0.0746,0.0926,0.0120,0.0000,2.38,0.0602
219,247629,1109,0.0586,0.0658,0.0018,0.0000,2.08,0.0642
220,248738,1191,0.1150,0.0579,0.0193,0.0017,2.53,0.1136
221,249929,314,0.0892,0.0446,0.0000,0.0000,2.53,0.0514
222,250243,318,0.0377,0.0723,0.0000,0.0000,2.39,0.0095
223,250561,1595,0.1354,0.0765,0.0075,0.0000,2.91,0.0697
224,252156,962,0.1268,0.0915,0.0229,0.0000,2.71,0.1293
225,253118,866,0.0508,0.0589,0.0462,0.0185,2.54,0.0521
226,253984,1939,0.0640,0.0557,0.0237,0.0005,2.57,0.1012
227,255923,1349,0.0919,0.0830,0.0059,0.0000,2.74,0.1055
228,257272,2375,0.0771,0.0349,0.0173,0.0000,2.37,0.1935
229,259647,115,0.0957,0.0870,0.0000,0.0000,2.25,0.0000
230,259762,353,0.1785,0.1360,0.0793,0.0000,2.97,0.0657
231,260115,932,0.0579,0.0944,0.0182,0.0000,2.26,0.0409
232,261047,161,0.1677,0.0745,0.0994,0.0062,2.82,0.0380
233,261208,1307,0.0773,0.0413,0.0077,0.1584,2.73,0.2492
234,262515,317,0.0442,0.0757,0.0252,0.0000,2.83,0.0000
235,262832,440,0.0977,0.0614,0.0091,0.0000,2.49,0.0847
236,263272,189,0.1587,0.0688,0.0000,0.0106,2.62,0.0000
237,263461,1117,0.0707,0.0904,0.0036,0.0036,2.22,0.0332
238,264578,1233,0.0487,0.0681,0.0357,0.0000,2.37,0.0984
239,265811,1367,0.0775,0.0578,0.0007,0.0000,2.31,0.0433
240,267178,1559,0.0725,0.0629,0.0096,0.0090,2.47,0.0443
241,268737,1929,0.0586,0.0415,0.0192,0.0005,2.36,0.1542
242,270666,857,0.1447,0.0280,0.0233,0.0408,2.96,0.1405
243,271523,1120,0.0277,0.0768,0.0036,0.0000,2.09,0.0528
244,272643,848,0.1958,0.1309,0.0708,0.0000,3.06,0.2414
245,273491,2059,0.0602,0.0801,0.0335,0.0000,2.49,0.0924
246,275550,446,0.0561,0.0762,0.0359,0.0112,2.53,0.0564
247,275996,2535,0.0765,0.0631,0.0260,0.0000,2.40,0.0739
248,278531,972,0.0545,0.0566,0.0350,0.0000,2.50,0.1734
249,279503,937,0.1078,0.0758,0.0416,0.0000,2.37,0.0739
250,280440,1234,0.0608,0.0324,0.0016,0.0000,2.13,0.0674
251,281674,364,0.0467,0.0549,0.0027,0.0000,1.99,0.0388
252,282038,1738,0.0679,0.0616,0.0040,0.0035,2.04,0.0536
253,283776,2121,0.0519,0.0721,0.0151,0.0000,2.33,0.0590
254,285897,996,0.0944,0.0472,0.0070,0.0040,1.93,0.0292
255,286893,192,0.0625,0.0781,0.0000,0.0156,2.21,0.0000
256,287085,777,0.0772,0.0901,0.0090,0.0026,2.52,0.0478
257,287862,1310,0.0260,0.0695,0.0130,0.0084,2.19,0.0428
258,289172,1220,0.0844,0.0549,0.0443,0.0000,2.24,0.0583
259,290392,1017,0.0767,0.0659,0.0039,0.0020,2.31,0.0444
260,291409,1665,0.0637,0.0901,0.0024,0.0012,2.16,0.0451
261,293074,112,0.0804,0.0625,0.0625,0.0000,2.24,0.0000
262,293186,1221,0.0655,0.0655,0.0377,0.0000,2.21,0.0386
263,294407,1443,0.0894,0.0707,0.0402,0.0000,2.58,0.1437
264,295850,352,0.0312,0.0710,0.0398,0.0028,2.73,0.1146
265,296202,295,0.1153,0.0644,0.0441,0.0000,2.54,0.0514
266,296497,112,0.1071,0.0893,0.0357,0.0000,1.96,0.0826
267,296609,430,0.1116,0.0860,0.0558,0.0000,2.51,0.0562
268,297039,441,0.0998,0.1497,0.0816,0.0159,2.90,0.0411
269,297480,504,0.1548,0.0813,0.0179,0.0278,2.88,0.0539
270,297984,443,0.0451,0.0926,0.0926,0.0000,2.62,0.0909
271,298427,1140,0.0404,0.0553,0.0456,0.0000,2.56,0.1627
272,299567,830,0.0880,0.0506,0.0133,0.0000,2.63,0.0701
273,300397,184,0.1250,0.0326,0.0543,0.0598,2.71,0.0829
274,300581,613,0.1550,0.1028,0.0326,0.0000,3.11,0.0721
275,301194,547,0.0384,0.0475,0.0037,0.0000,2.67,0.0460
276,301741,1890,0.1339,0.1143,0.0571,0.0016,3.00,0.1675
277,303631,1231,0.0276,0.0422,0.0000,0.0000,2.39,0.1409
278,304862,184,0.0870,0.0707,0.0543,0.0000,2.92,0.0110
279,305046,1307,0.0796,0.0773,0.0260,0.0015,2.65,0.0844
280,306353,255,0.0784,0.1490,0.0667,0.0000,2.43,0.0317
281,306608,5644,0.4548,0.0517,0.0037,0.0057,3.36,0.2913
282,312252,694,0.0980,0.0764,0.0288,0.0014,2.16,0.0376
283,312946,263,0.1103,0.0875,0.0304,0.0000,2.48,0.0538
284,313209,396,0.1263,0.0657,0.0960,0.0152,3.22,0.1221
285,313605,856,0.0923,0.0537,0.0129,0.0000,2.54,0.0305
286,314461,7677,0.1052,0.0814,0.0092,0.0047,2.52,0.1269
287,322138,2219,0.0568,0.0604,0.0162,0.0000,2.35,0.1354
288,324357,399,0.2180,0.0551,0.0201,0.0000,2.73,0.1995
289,324756,1430,0.0818,0.0615,0.0462,0.0007,2.44,0.1303
290,326186,705,0.0936,0.0610,0.0255,0.0014,2.27,0.0413
291,326891,4440,0.0905,0.0809,0.0196,0.0009,2.66,0.1093
292,331331,1797,0.0785,0.0801,0.0618,0.0011,2.57,0.1739
293,333128,640,0.1062,0.0844,0.0484,0.0141,2.72,0.0361
294,333768,142,0.0352,0.0634,0.0000,0.0000,2.15,0.0144
295,333910,1181,0.0745,0.0881,0.0152,0.0000,2.27,0.0645
296,335091,866,0.0370,0.0589,0.0346,0.0000,2.42,0.0730
297,335957,2879,0.0660,0.0688,0.0240,0.0035,2.51,0.1210
298,338836,847,0.2751,0.0673,0.0697,0.0000,3.17,0.2050
299,339683,219,0.1233,0.0457,0.0411,0.0000,2.41,0.1991
300,339902,2316,0.2919,0.0548,0.0073,0.0017,2.69,0.0372
301,342218,416,0.2596,0.0553,0.0312,0.0000,2.83,0.1332
302,342634,1162,0.1274,0.1153,0.0981,0.0043,3.43,0.0966
303,343796,480,0.0625,0.0437,0.0208,0.0000,2.68,0.0797
304,344276,318,0.1604,0.0566,0.0440,0.0063,2.89,0.0984
305,344594,725,0.0745,0.0621,0.0455,0.0014,2.66,0.0734
306,345319,4476,0.0702,0.0429,0.0051,0.0004,2.45,0.1185
307,349795,787,0.1042,0.0483,0.0051,0.0051,2.73,0.0293
308,350582,1703,0.0664,0.0652,0.0223,0.0000,2.45,0.1076
309,352285,612,0.0327,0.0523,0.0000,0.0000,2.28,0.0296
310,352897,194,0.0928,0.0773,0.0979,0.0000,3.13,0.0209
311,353091,1034,0.0793,0.0938,0.0058,0.0000,2.32,0.1106
312,354125,1407,0.0967,0.0945,0.0192,0.0000,2.22,0.0598
313,355532,258,0.1240,0.0775,0.0930,0.0155,2.53,0.0549
314,355790,224,0.0670,0.0893,0.0893,0.0000,2.67,0.0136
315,356014,496,0.0504,0.0685,0.0020,0.0000,2.02,0.0183
316,356510,347,0.0692,0.0663,0.0000,0.0000,2.33,0.0378
317,356857,921,0.0478,0.0651,0.0293,0.0000,2.81,0.1122
318,357778,261,0.1111,0.0766,0.0153,0.0000,2.61,0.0581
319,358039,578,0.0467,0.0519,0.0087,0.0000,1.96,0.0243
320,358617,1616,0.0582,0.0489,0.0136,0.0031,2.35,0.0688
321,360233,18743,0.2139,0.1142,0.1285,0.0056,3.29,0.4606
322,378976,357,0.0952,0.0616,0.0196,0.0000,2.53,0.0282
323,379333,1806,0.1445,0.0664,0.0515,0.0000,2.47,0.1631
324,381139,715,0.0462,0.0755,0.0098,0.0000,2.21,0.0393
325,381854,278,0.0935,0.1007,0.1619,0.0036,3.39,0.0436
326,382132,871,0.0804,0.0586,0.0149,0.0057,2.21,0.0253
327,383003,327,0.1101,0.0520,0.0061,0.0000,2.70,0.0802
328,383330,506,0.1304,0.0435,0.0040,0.0000,2.25,0.0318
329,383836,1894,0.0987,0.0686,0.0211,0.0000,2.54,0.1100
330,385730,163,0.1288,0.0675,0.1104,0.0000,2.91,0.0500
331,385893,239,0.0251,0.0418,0.0167,0.0000,2.49,0.0678
332,386132,565,0.0973,0.0602,0.0053,0.0000,2.58,0.0854
333,386697,1025,0.1268,0.0537,0.0039,0.0010,2.26,0.0254
334,387722,220,0.1136,0.1091,0.0455,0.0500,2.32,0.0046
335,387942,650,0.0708,0.0985,0.0585,0.0262,2.71,0.0850
336,388592,989,0.0425,0.0334,0.0101,0.0040,2.62,0.1957
337,389581,1107,0.0921,0.0641,0.0126,0.0009,2.34,0.0634
338,390688,616,0.0341,0.0519,0.0016,0.0032,2.09,0.0179
339,391304,1169,0.0530,0.0727,0.0188,0.0060,2.31,0.0866
340,392473,864,0.0359,0.0648,0.0440,0.0000,2.50,0.0581
341,393337,1427,0.1023,0.0883,0.0343,0.0000,2.53,0.0379
342,394764,239,0.1046,0.0628,0.0335,0.0084,2.12,0.0169
343,395003,891,0.0920,0.0606,0.0056,0.0022,2.53,0.1273
344,395894,314,0.1146,0.0510,0.0255,0.0000,3.14,0.0289
345,396208,748,0.1163,0.0936,0.0214,0.0000,3.07,0.0550
346,396956,1672,0.0891,0.0484,0.0197,0.0006,2.16,0.0971
347,398628,1532,0.1208,0.1044,0.0594,0.0026,2.45,0.1367
348,400160,2076,0.0809,0.0597,0.0087,0.0005,2.34,0.0531
349,402236,523,0.0937,0.0688,0.0000,0.0000,2.56,0.0385
350,402759,576,0.1545,0.0625,0.0434,0.0035,2.65,0.1012
351,403335,391,0.1688,0.0691,0.0026,0.0026,2.79,0.0541
352,403726,274,0.0912,0.0584,0.0328,0.0000,2.40,0.0258
353,404000,1302,0.0645,0.0806,0.0192,0.0000,2.13,0.0446
354,405302,458,0.0808,0.0830,0.0000,0.0000,2.44,0.0374
355,405760,996,0.0663,0.0622,0.0241,0.0030,2.53,0.0765
356,406756,610,0.0721,0.0443,0.0066,0.0000,2.55,0.0593
357,407366,1109,0.0433,0.0794,0.0667,0.0009,2.42,0.0723
358,408475,503,0.0656,0.0557,0.0338,0.0000,2.52,0.0660
359,408978,486,0.1008,0.0432,0.0062,0.0000,2.67,0.0849
360,409464,808,0.0730,0.0804,0.0062,0.0037,2.25,0.0820
361,410272,860,0.0360,0.0547,0.0035,0.0000,2.40,0.0980
362,411132,1048,0.0897,0.0706,0.0210,0.0019,2.93,0.0641
363,412180,133,0.1128,0.0451,0.0000,0.0000,2.46,0.0077
364,412313,613,0.0636,0.0685,0.0294,0.0000,2.20,0.0410
365,412926,634,0.0300,0.0931,0.0331,0.0016,2.31,0.1046
366,413560,1507,0.1566,0.0544,0.0027,0.0000,2.63,0.0977
367,415067,918,0.1100,0.0730,0.0098,0.0000,2.07,0.0230
368,415985,589,0.0764,0.0628,0.0340,0.0136,2.83,0.0631
369,416574,1404,0.1033,0.0648,0.0741,0.0014,2.19,0.0878
370,417978,975,0.1723,0.0913,0.0000,0.0000,2.62,0.0864
371,418953,1560,0.1782,0.0910,0.0577,0.0019,2.99,0.1355
372,420513,7944,0.1078,0.0359,0.0094,0.0000,2.79,0.2516
373,428457,876,0.0845,0.0811,0.0205,0.0000,2.77,0.1775
374,429333,853,0.1348,0.0680,0.0504,0.0023,2.20,0.0718
375,430186,454,0.0507,0.0705,0.0154,0.0132,2.33,0.0443
376,430640,214,0.1028,0.0514,0.0000,0.0093,2.52,0.0142
377,430854,231,0.1255,0.0390,0.0043,0.0000,2.89,0.0395
378,431085,1465,0.0956,0.0628,0.0232,0.0000,2.45,0.0547
379,432550,2007,0.1171,0.0658,0.1051,0.0055,2.37,0.1183
380,434557,143,0.0979,0.0839,0.0210,0.0000,2.75,0.0286
381,434700,354,0.1073,0.0678,0.0678,0.0000,2.88,0.0997
